Description,Category
ARTIFICIAL TEARS 0.2-0.2-1%,OTC
"ARTIFICIAL TEARS STERILE, LUBRICANT 1%-0.2%-0.2% D",OTC
NIGHT TIME PAIN MEDICINEEXTRA STRENGTH TABS,OTC
DOCUSATE SODIUM-SENNA TABLET,OTC
DOCUSATE SODIUM 100MG *TABLET*,OTC
SENNA PLUS TAB,OTC
SENNA PLUS 8.6MG-50MG TABLET,OTC
CALCIUM CARB. 500MG CHEWTAB,OTC
VITAMIN C PAK 500MG,OTC
ZINC SULFATE TAB 220MG,OTC
DR.FORMUL PROB UTI CAP 50 BILL CAPS,OTC
ERTAPENEM 1GM/ 50ML NS,IV DRUG
ERTAPENEM 1GM/50ML NS,IV DRUG
DESITIN MAX PASTE 0.4 PSTE,OTC
"ERTAPENEM LATEX-FREE, SDV 1 GM 110 MLS (SODIUM CHL",IV DRUG
ERTAPENEM SODIUM 1GM SOLR,IV DRUG
RENAGEL 800 MG TABLET,RX
RENVELA 800MG TABS,RX
NEPHROCAPS CAP,RX
"ACETAMINOPHEN A/F,S/F,CHERRY 160MG/5ML LIQUID",OTC
ACETAMINOPHEN 160MG/5ML LIQD,OTC
HALOPERIDOL 0.5MG TAB,RX
HALOPERIDOL 2MG TAB,RX
THERATEARS 0.0025 SOLN,OTC
THERATEARS NUTRITION CAPS,OTC
AQUADEKS CHEW,OTC
CARAFATE 1GM/10ML ORAL SUSP,RX
CARAFATE 1GM/10ML SUSP,RX
PYLERA CAPSULE,RX
UREA 10% CREAM,OTC
VENELEX OIN,RX
HYSINGLA ER 20MG TAB ER 24H,RX
HYSINGLA ER 20MG TAB,RX
OXYCONTIN TAB 10MG CR,RX
OXYCONTIN CR 15MG TAB,RX
OxyCONTIN CR 20MG TABLET,RX
OXYCONTIN CR 20MG TAB,RX
OxyCONTIN CR 30MG TABLET,RX
OXYCONTIN CR 30MG TAB,RX
OXYCONTIN 40MG T12A,RX
OxyCONTIN CR 60MG TABLET,RX
OXYCONTIN CR 60MG TAB,RX
OxyCONTIN CR 80MG TABLET,RX
LIDOCAINE 3% CREAM,RX
QVAR REDIHALER 40MCG/ACT AERB,RX
QVAR REDIHALER HFA 80MCG/ACT,RX
PROAIR HFA 90 MCG INHALER,RX
PROAIR HFA 108MCG/ACT AERS,RX
PROAIR RESPICLICK 90 MCG INHLR,RX
AIRDUO RESPI INH 113-14,RX
AIRDUO RESPICLICK 113-14 MCG,RX
BIOFREEZE PROF GEL 5% GEL,OTC
BIOFREEZE GEL 0.05 SOLG,OTC
BIOFREEZE 4% ROLL-ON 4 % GEL (ML),OTC
BIOFREEZE GELL ROLL ON 4% LIQ.,OTC
GONIOTAIRE 2.5% OPTH.SOLN,OTC
VYVANSE 10MG CAPS,RX
VYVANSE 30 MG CAPSULE,RX
VYVANSE 30MG CAPS,RX
NEPHPLEX RX TAB,RX
CALPHRON 667MG TAB,OTC
DOXEPIN HCL 10MG CAPSULE,RX
GLIPIZIDE ER 2.5MG TAB,RX
EDURANT TAB 25MG,RX
EDURANT 25MG TABS,RX
"PROCRIT INJ 2,000 UNIT/ML",RX
"PROCRIT 4,000 UNITS/ML",RX
"PROCRIT SDV 4,000 UNITS/1ML VIAL",RX
"PROCRIT 10,000 UNIT/ML SOLN",RX
"PROCRIT INJ 10,000 UNIT/ML",RX
"PROCRIT 20,000 UNITS/ML SOLN",RX
"PROCRIT-EPOETIN 20,000U/ML MDV",RX
"PROCRIT 20,000 UNITS/1ML VIAL",RX
"PROCRIT 40,000 UNITS/ML SOLN",RX
"PROCRIT INJ SDV 40,000 UNITS/1ML VIAL",RX
PREZISTA 600MG TAB,RX
PREZISTA TAB 800MG,RX
METHYLPREDNISOLONE 4MG DOSEPAK,RX
PROCHLORPERAZINE MALEATE F/C 10MG TABLET,RX
PROCHLORPERAZINE MALEATE 10MG TABS,RX
VALACYCLOVIR 500MG TAB,RX
VALACYCLOVIR 1GM TAB,RX
VALSARTAN 40MG TAB,RX
VALSARTAN 320MG TAB,RX
TERAZOSIN 1MG CAP,RX
TERAZOSIN 5 MG CAPSULE,RX
TERAZOSIN 10MG CAP,RX
TERAZOSIN HCL 10MG CAPS,RX
PUMP-SIGMA SPECTRUM,IV SUPPLY
DICLOFENAC SODIUM-MISOPROSTOL F/C 50 MG-200 TAB IR,RX
SILDENAFIL CITRATE 100MG TABS,RX
METHYPREDNISOLONE 8MG TAB,RX
SERTRALINE 20MG/ML CONC,RX
HYDROCORTISONE 20 MG TABLET,RX
MESALAMINE CAP 400MG DR,RX
COLESTIPOL 5GM PACKET,RX
PHENYTOIN 125MG/5ML ORAL SUSP,RX
NADOLOL 20MG TABS,RX
DIPHENOX/ATROP 2.5-0.025MG TAB,RX
EPLERENONE 25MG TABS,RX
NITROGLYCERIN SL 0.4MG TAB,RX
CLINDAMYCIN PHOSPHATE 0.01 LOTN,RX
METHYLPRED TAB 4MG,RX
FLUCONAZOLE TAB 100MG,RX
FLUCONAZOLE TAB 150MG,RX
PHENYTOIN 50 MG TABLET CHEW,RX
PRAZOSIN 1MG CAP,RX
JUVEN POWDER PACKET,OTC
JUVEN PACKET (UNFLAVORED),OTC
AURYXIA 210MG TAB,RX
AZATHIOPRINE 50MG TABLET,RX
AZATHIOPRINE 50 MG TABLET,RX
PHOS-NAK POW CONCENTR,OTC
PHOS-NAK CONC POWDER PACK,OTC
RENA-VITE 0.8MG TABLET,OTC
OMNICELL RESTOCK EACH,SUPPLY-NON IV
PROMETHAZINE SYP DM,RX
PROMETH/COD SOL 6.25-10,RX
DOXEPIN 10 MG/ML ORAL CONC,RX
DILTIAZEM ER 120MG CAP,RX
PENTOXIFYLLINE ER 400 MG TAB,RX
PENTOXIFYLLINE ER 400MG TAB,RX
ACYCLOVIR CAP 200MG,RX
SOTALOL HCL TAB 160MG,RX
GLIPIZIDE TAB 5MG,RX
BUPROPION HCL 75MG TAB,RX
DESMOPRESSIN ACETATE 0.1MG TAB,RX
OLOPATADINE 0.1% OPTH.SOLN,RX
OLOPATADINE HCL 0.001 SOLN,RX
AZELASTINE HCL 0.0005 SOLN,RX
BIMATOPROST 0.0003 SOLN,RX
OLOPATADINE HCL 0.2 % DROPS,RX
TRAVOPROST 0.004% EYE DROP,RX
ENOXAPARIN 100MG/ML SYRINGE,RX
ENOXAPARIN 150MG/ML SYRINGE,RX
CALCITONIN-SALMON 200UNIT/ACT SOLN,RX
MOMETASONE FUROATE 50 MCG SPRY,RX
TIMOLOL MALEATE 0.5 % DROP DAILY,RX
MIDODRINE HCL 2.5MG TABLET,RX
CILOSTAZOL 50MG TAB,RX
CILOSTAZOL 100MG TABS,RX
MODAFINIL TAB 100MG,RX
MODAFINIL TAB 200MG,RX
TRIAMTERENE-HCTZ 37.5-25 MG TABLET,RX
MYCOPHENOLIC TAB 360MG DR,RX
OLANZAPINE TAB 7.5MG,RX
OLANZAPINE 7.5MG TAB,RX
OLANZAPINE TAB 10MG,RX
OLANZAPINE 15MG TAB,RX
FAMCICLOVIR TAB 500MG,RX
LAMIVUDINE 100MG TAB,RX
LAMIVUDINE 150MG TABS,RX
TRANEXAMIC ACID 650MG TABS,RX
ONDANSETRON 4MG/2ML SDV,RX
CELLERATE RX POWDER POWD,RX
CLINDAMYCIN INJ 600/4ML,IV DRUG
FERRLECIT 125 MG 110 MLS (SODIUM CHLORIDE),IV DRUG
CLOTRIMAZOLE 0.01 SOLN,RX
FLUCONAZOLE/ INJ NACL 200,IV DRUG
FLUCONAZOLE/ INJ NACL 400,IV DRUG
"FLUCONAZOLE-NACL P/F, L/F, SINGLE-USE 400 MG 200 M",IV DRUG
GENTAM/NACL INJ 100MG,IV DRUG
"GENTAMICIN SULFATE MDV,LATEX-FREE 40MG/1ML VIAL",IV DRUG
FENTANYL 12MCG/HR PT72,RX
FENTANYL 25MCG/HR PT72,RX
FENTANYL 50MCG/HR PT72,RX
DIABETIC TUSSIN DM 100-10MG/5 LIQUID,OTC
DIABETIC TUSSIN EX LIQUID,OTC
LEVOBUNOLOL HCL 0.005 SOLN,RX
KETOROLAC 0.4% OPTH SOLN,RX
TIMOLOL 0.25% OPHTH SOLN,RX
FOLTABS 800 TAB,OTC
PROPARACAINE 0.5% OPTH.SOLN,RX
DORZOLAMIDE SOL 2% OP,RX
BRIMONIDINE TARTRATE 0.0015 SOLN,RX
PILOCARPINE 4% OPHTH SOLN,RX
"ZARXIO P/F, SUV 480MCG/0.8ML SYRINGE",RX
NEOMYCIN/POLYMYXIN/DEXAMETHASONE SUSP,RX
NEOMYCIN/POLYMYXIN/DEXAMETHASONE OINT,RX
GENTAMICIN SOL 0.3% OP,RX
GENTAMICIN EYE DROPS 0.3%,RX
GENTAMICIN 0.3% OPTH SOLN,RX
PREDNISOLONE ACET 1% EYE DROP,RX
NEOMYCIN/POLYMYXIN/HYDROCORTISONE SUSP,RX
ACYCLOVIR TAB 800MG,RX
ACYCLOVIR 800 MG TABLET,RX
POVIDONE -IOD SOL 10%,OTC
DIABETIC TUSSIN DM,OTC
DIABETIC TUSSIN DM LIQUID,OTC
DIABETIC TUSSIN 100MG/5ML LIQD,OTC
DIAB. SILTUSSIN DM10-200MG/5ML,OTC
VIBERZI 75MG TABLET,RX
VRAYLAR 3MG CAPS,RX
DERMACERIN CREAM,OTC
DERMACERIN SKIN PROTECTANT CRM,OTC
PERIGUARD OIN,OTC
PERIGUARD OINTMENT (100GM),OTC
DERMASYN HYDROGEL (85GM),OTC
OPTICLUDE EYE PATCH (#20/BOX),SUPPLY-NON IV
MEDI-PADS 50% PAD,OTC
EMTRIVA CAP 200MG,RX
EMTRIVA 200MG CAP,RX
TRUVADA 200MG/300MG TABLET,RX
TRUVADA TABS,RX
DESCOVY 200-25 MG TABLET,RX
BIKTARVY TABS,RX
CARTIA XT 180MG CP24,RX
"POTASSIUM CL ER 10 MEQ ""M"" TB",RX
"POTASSIUM CL ER 20 MEQ ""M"" TB",RX
BOUDREAUXS BUTT PASTE MAXIMUM STRENGTH 0.4 OINT,OTC
METHYLPHENIDATE ER 18MG TAB,RX
VERAPAMIL HCL ER 300MG CP24,RX
IBUPROFEN 200MG TABS,OTC
IBUPROFEN 400 MG TABLET,RX
THEOPHYLLINE TAB 300MG ER,RX
ROPINIROLE HCL 0.25MG TABLET,RX
ROPINIROLE HCL 1 MG TABLET,RX
LEFLUNOMIDE 20MG TABS,RX
PREGABALIN 200 MG CAPSULE,RX
FEBUXOSTAT 40MG TABLET,RX
CANDESARTAN CILEXETIL 16MG TABS,RX
BENZONATATE 200MG CAP,RX
TOBRAMYCIN 0.3% OPHTH SOLN,RX
PANCREAZE 4.2K-14.2K CAPSULE DR,RX
PANCREAZE CPEP,RX
OXYCODONE HCL 5 MG/5 ML SOLN,RX
OXYCODONE 5MG/5ML SOLN,RX
OPIUM TINCTURE 1%,RX
MORPHINE SULFATE 10MG/5ML SOLN,RX
"METOCLOPRAMIDE HCL S/F, A/F 5MG/5ML SOLUTION",RX
METFORMIN HCL ER 500MG TAB.SR 24H,RX
OXCARBAZEPINE 300MG TABS,RX
LITHIUM CARBONATE 300MG TAB,RX
LITHIUM CARBONATE 300MG TABS,RX
CARBIDOPA-LEVO ER 25-100 TAB,RX
CARBIDOPA-LEVODOPA ER 25MG-100MG TABLET ER,RX
CARBIDOPA-LEVODOPA 10-100MG TB,RX
BELVIQ XR 20MG TAB,RX
ELIGARD INJ 7.5MG,RX
GLY-OXIDE 10% SOLN,OTC
PRENATAL 27-1MG TAB,RX
RENO CAP,RX
NUPLAZID 34 MG CAPSULE,RX
BROMOCRIPTINE MESYLATE 5MG CAPS,RX
CLINDAMYCIN 150MG CAP,RX
CLINDAMYCIN HCL 150MG CAPSULE,RX
ESOMEPRAZOLE 40MG DR CAP,RX
IMIPENEM/CILASTATIN SOLR,IV DRUG
CYANOCOBALAMIN 1000MCG/1ML VIAL,RX
LIDOCAINE HCL 1% VIAL MDV,RX
INFUVITE INJ (5X2X5ML VIAL),IV DRUG
"HEPARIN SOD 5,000 UNIT/ML VIAL",RX
"HEPARIN SODIUM 5,000 UNITS/1ML VIAL",RX
INFUVITE INJECTION,IV DRUG
IV AMIKACIN 1000MG/100ML NS-E,IV DRUG
IV AMP/SULB 1.5GM/100ML NS-MBP,IV DRUG
HALOPERIDOL LAC 5MG/ML 1ML SDV,RX
HALOPERIDOL LACTATE 5MG/ML MDV,RX
XYLOCAINE INJ 1%,RX
GLUCAGON EMR SOL 1MG,RX
IV AZITHROMYC 250MG/250ML NS-E,IV DRUG
ACETYLCYSTEINE 0.2 SOLN,RX
APTIOM 600MG TABLET,RX
LATUDA TAB 20MG,RX
LATUDA 20 MG TABLET,RX
LATUDA 20MG TAB,RX
LATUDA TAB 40MG,RX
LATUDA TAB 60MG,RX
LATUDA TAB 80MG,RX
LATUDA TAB 120MG,RX
BROVANA NEB 15MCG,RX
BROVANA 15MCG/2ML NEBU,RX
CORTISPORIN-TC OTIC SUSP,RX
ORAL SYRINGE 3ML,SUPPLY-NON IV
ICAR PEDIAT 15MG/1.25ML SUSP,OTC
MONISTAT-3 4% CREAM,OTC
BOIL EASE OIN 20%,OTC
STYE EYE OINTMENT 31.9-57.7%,OTC
CALDESENE 81-15% POWDER,OTC
MONISTAT 3 0.04 CREA,OTC
MONISTAT SOOTHING CARE 1% CR,OTC
MONISTAT SOOTHING CARE ITCH RELIEF 0.01 CREA,OTC
ORAL SYRINGE 0.5ML,SUPPLY-NON IV
IBUPROFEN 400MG TAB,RX
HEPARIN SOD INJ 5000/ML,RX
"HEPARIN SOD 5,000U/ML VIAL-1ML",RX
MUCINEX 600MG TBBP 12HR,OTC
MUCINEX 600MG ER TAB,OTC
MUCINEX FAST-MAX CONGEST-COUGH,OTC
MUCINEX COLD LIQ FLU&SORE,OTC
MUCINEX FM 5-10-200-325MG/10ML,OTC
MUCINEX FAST-MAX COLD & SINUS LIQD,OTC
"MUCINEX ER 1,200 MG TABLET",OTC
MUCINEX DM ER 600-30 MG TABLET,OTC
MUCINEX DM 30-600MG ER TAB,OTC
DELSYM SUS 30MG/5ML,OTC
DELSYM C+C 5-100MG/5ML LIQUID,OTC
MUCINEX FAST LIQ MAX,OTC
MUCINEX FAST-MAX CONGESTION & HEADACHE MAXIMUM STRENGTH LIQD,OTC
CEPACOL S/F X/S CHERRY LOZ,OTC
CEPACOL ST 15-2.6MG LOZENZGE,OTC
CEPACOL MAX NMB+CGH MX/BRY 5MG-7.5MG LOZENGE,OTC
CEPACOL 5-7.5MG LOZENGE,OTC
SCALPICIN SOL 1%,OTC
ACIDOPHILUS PEARLS CAPS,OTC
"VITAMIN D3 2,000 UNIT CHEW TAB",OTC
IV AZTREONAM 1GM/100ML NS-MBP,IV DRUG
HEPARIN LOCK FLUSH 10UNIT/ML SOLN,IV SUPPLY
HYDROCODONE-ACET 5MG-300MG TABLET,RX
"VITAMIN D2-50,000 UNIT CAPS",RX
RANITIDINE HCL 150MG TABLET,RX
RANITIDINE TAB 150MG,RX
RANITIDINE 150MG TAB,RX
IBUPROFEN 400MG TABLET,RX
TRIAMCINOLONE 0.05% OINT,RX
NUEDEXTA 20-10MG CAP,RX
ENALAPRIL 20MG TAB,RX
AMITIZA CAP 24MCG,RX
AMITIZA 24MCG CAP,RX
TRINTELLIX 20MG TABLET,RX
DERMAGRAN OIN,OTC
RYTARY 48.75/195MG CPCR,RX
RYTARY ER 61.25MG/245MG CAPS,RX
PHOSPHA 250 TAB NEUTRAL,RX
PHOSPHA 250 NEUTRAL TAB,RX
FLORANEX 1000000CELL TABLET,OTC
DIPYRIDAMOLE 50MG TAB,RX
ORAL SYRINGE 1ML,SUPPLY-NON IV
FLORANEX PACK,OTC
RISAQUAD CAPSULES,OTC
ORAL SYRINGE 1ML AMBER,SUPPLY-NON IV
RISA-BID TAB PROBIO,OTC
PROCTOZONE-HC 2.5% CREAM,RX
PREGABALIN 25MG CAPSULE,RX
PREGABALIN 150MG CAPSULE,RX
CYPROHEPTADINE HCL 2MG/5ML SYRUP,RX
TIMOLOL MALEATE 0.5 % DROPS,RX
OFLOXACIN 0.3% OPTH SOLN,RX
OXYCODONE HCL 5MG TABLET,RX
SUCRALFATE SUS 1GM/10ML,RX
NAPROXEN 250MG TABS,RX
NAPROXEN 500MG TAB,RX
RANITIDINE HCL 300MG TABS,RX
SMZ-TMP TAB 400-80MG,RX
PALIPERIDONE TAB ER 3MG,RX
PALIPERIDONE ER 3MG TAB,RX
SILDENAFIL 20MG TAB,RX
MECLIZINE 12.5MG TABS (RX),RX
IBUPROFEN 600 MG TABLET,RX
PROMETHAZINE 25MG TAB,RX
ONDANSETRON 4MG/5ML ORAL SOLN,RX
WARFARIN TAB 7.5MG,RX
WARFARIN SODIUM 10MG TABS,RX
BUDESONIDE EC 3 MG CAPSULE,RX
ACYCLOVIR OIN 5%,RX
ACYCLOVIR 5 % OINT. (G),RX
ARIPIPRAZOLE 10MG TAB,RX
ARIPIPRAZOLE 15MG TAB,RX
BENICAR 40MG TAB,RX
FIRST-MOUTHWASH BLM SUSP,RX
LANSOPRAZOLE-3MG/ML-SUSP,RX
FIRST BACLOFEN 1MG/ML SUSP,RX
FIRVANQ SOL 25MG/ML,RX
FIRVANQ SOL 50MG/ML,RX
FIRVANQ 50MG/1ML SOLN RECON,RX
RELISTOR TAB 150MG,RX
RELISTOR 150MG TABLET,RX
XIFAXAN TAB 200MG,RX
XIFAXAN 200MG TABS,RX
XIFAXAN TAB 550MG,RX
CITALOPRAM HBR F/C 40MG TABLET,RX
METFORMIN HCL F/C 850MG TABLET,RX
AMOXICILLIN 500MG TAB,RX
AMOXICILLIN 875 MG TABLET,RX
AMOXICILLIN 875MG TAB,RX
MIRTAZAPINE ODT 15MG TAB,RX
SIMVASTATIN 5 MG TABLET,RX
TERBINAFINE HCL 250 MG TABLET,RX
GLYBURIDE-METFORMIN HCL F/C 2.5-500 MG TABLET,RX
SUMATRIPTAN 50MG TAB,RX
ZOLPIDEM TARTRATE 10 MG TABLET,RX
PENICILLN VK TAB 250MG,RX
ONDANSETRON 8MG TAB,RX
FLUOXETINE 40MG CAP,RX
LOSARTAN TAB 50MG,RX
MINOCYCLINE HYDROCHLORIDE 100MG CAPS,RX
CEFDINIR 250MG/5ML SUSP,RX
LAMOTRIGINE TAB 100MG,RX
SULFAMETHOXAZOLE-TRIMETHOPRIM 400MG-80MG TABLET,RX
VALACYCLOVIR HCL 1 GRAM TABLET,RX
VALACYCLOVIR F/C 1000MG TABLET,RX
LOSARTAN-HCTZ 50-12.5 MG TAB,RX
LOSARTAN-HCTZ 50-12.5 MG TABLET,RX
LOSARTAN-HCTZ 100-12.5MG TABLET,RX
LOSARTAN-HCTZ 100-25 MG TAB,RX
LOSARTAN/HCT 100-25MG TAB,RX
AMOXICILLIN-CLAVULANATE POTASS F/C 875-125 MG TABL,RX
PIOGLITAZONE HCL 15 MG TABLET,RX
AMOX W/K CLAV 600-42.9MG/5ML,RX
LEVOFLOXACIN 750 MG TABLET,RX
LEVOFLOXACIN F/C 750MG TABLET,RX
VALSARTAN 320MG TABLET,RX
CLINDAMYCIN PEDIATR 75MG/5ML SOLN RECON,RX
MODAFINIL 200MG TABLET,RX
MOXIFLOXACIN TAB 400MG,RX
MOXIFLOXACIN 400MG TAB,RX
QUINAPRIL TAB 10MG,RX
GEMFIBROZIL 600MG TABLET,RX
RIVASTIGMINE TARTRATE 6MG CAPS,RX
ENTACAPONE TAB 200MG,RX
REPAGLINIDE TAB 0.5MG,RX
ALPRAZOLAM 0.25 MG TABLET,RX
ALPRAZOLAM 0.5MG TAB,RX
ALPRAZOLAM 1MG TAB,RX
VENLAFAXINE ER 150MG CAP,RX
ZIPRASIDONE HCL 20MG CAPS,RX
ZIPRASIDONE HCL 80MG CAPS,RX
OLMESARTAN MEDOXOMIL/HYDROCHLOROTHIAZIDE TABS,RX
AMLODIPINE-OLMESARTAN 10 MG-40MG TABLET,RX
SEVELAMER POW 0.8GM,RX
SEVELAMER 0.8 GM POWDER PACKET,RX
SEVELAMER CARBONATE OUTER 0.8GM POWD PACK,RX
SEVELAMER POW 2.4GM,RX
KRISTALOSE 10GM PACK,RX
KRISTALOSE PAK 20GM,RX
KRISTALOSE 20GM PACKET,RX
OYS CAL/VIT D 500MG/200IU,OTC
FLUOROURACIL 0.05 CREA,RX
AMOX-CLAV 500MG/125MG TABLET,RX
AMOXICILLIN/CLAV 500/125MG TAB,RX
OXYCODONE 20MG/ML CONCENTRATE,RX
"KLOR-CON ""KCL"" 10 MEQ TABLET",RX
KLOR-CON 10 F/C 10MEQ TABLET ER,RX
LIVALO 2MG TAB,RX
LIVALO TAB 4MG,RX
LIVALO 4MG TAB,RX
LANTHANUM CHW 1000MG,RX
LANTHANUM CARBONATE 1000MG CHW,RX
FLUTICA-SALMET DISKUS250-50MCG,RX
FLUTICASONE-SALMETEROL 500-50 MCG BLST W/DEV,RX
TRIAMTERENE 100MG CAP,RX
CALCIPOTRIENE CREAM 0.005%,RX
ANASEPT ANTIMICROBIAL SKIN & WOUND GEL 0.00057 GEL,OTC
SELEGILINE HCL 5MG CAPSULE,RX
MAXPLUS NEEDLELESS CONNECTOR,IV SUPPLY
"HEPARIN SODIUM OUTER, MDV 5000UNIT/1ML VIAL",RX
Medical Record Fee,RECORDS/REPORTS/FORMS
DEXAMETH PHO INJ 4MG/ML,RX
DEXAMETHASONE 4MG/ML INJ (1ML),RX
HALOPER LAC INJ 5MG/ML,RX
FONDAPARINUX INJ 2.5/0.5,RX
PROCHLORPER INJ 10MG/2ML,RX
"HEPARIN SODIUM OUTER,SUV,LATEX-FREE 5000UNIT/1ML V",RX
COLACE CLEAR 50 MG SOFTGEL,OTC
COLACE CLEAR 50MG CAP,OTC
BETADINE SOL 10%,OTC
BETADINE SWABSTICKS 0.1 SWAB,OTC
BETADINE SWABSTICK 10% SWAB,OTC
BETADINE SPR 5%,OTC
VITAMINS A&D OINTMENT,OTC
METHADONE HCL 10 MG TABLET,RX
SILVER SULFADIAZINE 0.01 CREA,RX
"METFORMIN *ER 500 MG TAB ""AB1""",RX
CEFUROXIME TAB 500MG,RX
CEPHALEXIN 250MG CAP,RX
MYCOPHENOLATE TAB 500MG,RX
QUETIAPINE 400MG TAB,RX
CEPHALEXIN 750MG CAPSULE,RX
RASAGILINE TAB 1MG,RX
RILUZOLE 50MG TABS,RX
TRIAMCINOLONE ACETONIDE 0.00025 CREA,RX
IBUPROFEN 600MG TAB,RX
LINEZOLID 600MG TAB,RX
SOLIFENACIN SUCCINATE 5MG TABLET,RX
SOLIFENACIN SUCCINATE 5MG TABS,RX
SOLIFENACIN SUCCINATE 10MG TABS,RX
DRONABINOL 5MG CAPSULE,RX
DRONABINOL CAP 10MG,RX
LEVETIRACETAM TAB 500MG,RX
VENLAFAXINE HCL ER 37.5 MG TAB,RX
VASCULERA 630MG TAB,RX
OXYCODONE IR 5MG UD TABLET,RX
OXYCODONE APAP UD 5/325MG TAB,RX
MORPHINE SUL SOL 10/0.5ML,RX
IBUPROFEN 600MG TABLET,RX
IBUPROFEN 600MG TABS,RX
VANCOMYCIN CAP 125MG,RX
VANCOMYCIN CAP 250MG,RX
CEFADROXIL CAP 500MG,RX
CEFADROXIL 500MG CAPSULE,RX
MEMANTINE HYDROCHLORIDE ER 21MG CP24,RX
ETHAMBUTOL 400MG TAB,RX
ATOVAQUONE 750MG/5ML ORAL SUSP,RX
DULOXETINE HCL 40MG CPEP,RX
CEFUROXIME 250MG TAB,RX
BUPROPION HCL XL 300MG TAB,RX
METFORMIN ER 1000MG TAB (G),RX
SERTRALINE TAB 50MG,RX
RANOLAZINE ER 1000MG TAB ER 12H,RX
LOVASTATIN 10 MG TABLET,RX
LOVASTATIN 40MG TAB,RX
LOVASTATIN 40MG TABS,RX
LOVASTATIN 40 MG TABLET,RX
LOVASTATIN 40MG TABLET,RX
LISINOPRIL-HCTZ 10-12.5 MG TAB,RX
LISINOPRIL-HCTZ 10MG-12.5MG TB,RX
LISINOPRIL-HCTZ 20-12.5 MG TAB,RX
LISINOPRIL-HCTZ 20-12.5MG TAB,RX
LISINOP/HCTZ TAB 20-25MG,RX
LISINOPRIL-HCTZ 20-25MG TAB,RX
DICLOFENAC SODIUM 0.015 SOLN,RX
LAMIVUDINE 150MG TAB,RX
QUETIAPINE ER 50 MG TABLET,RX
QUETIAPINE ER 150MG TAB,RX
DOXYCYCLINE MONO 100MG CAP,RX
RIFAMPIN 300 MG CAPSULE,RX
RIFAMPIN 300MG CAP,RX
OSELTAMIVIR CAP 30MG,RX
OSELTAMIVIR PHOS 30 MG CAPSULE,RX
OSELTAMIVIR PHOS 75 MG CAPSULE,RX
TRAMADOL HCL TAB 100MG ER,RX
TRAMADOL HCL ER 100MG TAB ER 24H,RX
CEFDINIR 125 MG/5 ML SUSP,RX
CEFDINIR 250MG/5ML SUSP RECON,RX
AMLOD-VALSART-HCTZ 5-160-25MG,RX
ZOLPIDEM TARTRATE ER 12.5MG TBCR,RX
POTASSIUM CHLORIDE 10MEQ ER CP,RX
LANTHANUM CARB 750 MG TAB CHEW,RX
LEVOTHYROXINE 175MCG TAB,RX
LAMOTRIGINE 100 MG TABLET,RX
LAMOTRIGINE 100MG TAB,RX
VENLAFAXINE CAP 37.5 ER,RX
VENLAFAXINE HYDROCHLORIDE ER 75MG CP24,RX
MELOXICAM 15MG TABS,RX
HALOPERIDOL 5MG TABLET,RX
HALOPERIDOL 10MG TABS,RX
PAROXETINE 10MG TABS,RX
PAROXETINE 10MG TAB,RX
DIVALPROEX 125MG SPRINKLE,RX
RISPERIDONE TAB 3MG,RX
RISPERIDONE 4MG TAB,RX
TOPIRAMATE TAB 50MG,RX
TOPIRAMATE 100MG TAB,RX
OXYBUTYNIN TAB 5MG ER,RX
OXYBUTYNIN CL ER 15 MG TABLET,RX
MINOCYCLINE 100MG CAP,RX
POTASSIUM CHLORIDE F/C 20MEQ TABLET ER,RX
MESALAMINE TAB 800MG DR,RX
DILTIAZEM CD 120MG CAP,RX
DILTIAZEM CD 180MG CAP,RX
DILTIAZEM CD 300MG CAP,RX
ISOSORBIDE MONO 120MG ER TAB,RX
SPIRONOLACTONE 100MG TAB,RX
MESALAMINE TAB 1.2GM,RX
NATEGLINIDE 60MG TABLET,RX
NATEGLINIDE 120 MG TABLET,RX
LANSOPRAZOLE ODT 15MG TBDD,RX
LANSOPRAZOLE ODT 30MG TBDD,RX
METHOTREXATE 2.5MG TAB,RX
LABETALOL 100MG TAB,RX
IV CEFEPIME 2GM/100ML NS-MBP,IV DRUG
"SAFETY INFUSION SET 22GX1""",IV SUPPLY
ORAL SYRINGE 2TSP/10ML,SUPPLY-NON IV
ORAL SYRINGE MIS 5ML,SUPPLY-NON IV
FLUCONAZOLE 50MG TAB,RX
FLUCONAZOLE 100MG TAB,RX
FLUCONAZOLE 200MG TAB,RX
ONDANSETRON ODT 4MG TAB,RX
ONDANSETRON ODT 8 MG TABLET,RX
IV cefTAZidime 1GM/50ML NS-E,IV DRUG
PRAVASTATIN SODIUM 10MG TABLET,RX
OXYCODONE IMMEDIATE 5 MG CAP,RX
LITHIUM CARBONATE ER 450MG TBCR,RX
RANITIDINE HCL F/C 150MG TABLET,RX
RANITIDINE HCL 150MG TABS,RX
RANITIDINE 300 MG TABLET,RX
RANITIDINE HCL F/C 300MG TABLET,RX
ROPINIROLE TAB 0.5MG,RX
VERAPAMIL SR 240MG TAB,RX
VERAPAMIL HCL ER 240MG TBCR,RX
ROSUVASTATIN 10MG TAB,RX
ROSUVASTATIN 40MG TAB,RX
VERAPAMIL ER 120MG TAB,RX
VERAPAMIL HCL ER 180MG TBCR,RX
CLOTRIM-BETAMETH 1-0.05% CR,RX
HEATHER 0.35MG TABLET,RX
